At time 0, Job1 arrives.
At time 996, Job519 arrives.
At time 997, Job508 arrives.
At time 997, Job525 arrives.
At time 997, Job531 arrives.
At time 999, Job533 arrives.
At time 0, Job1 arrives.
At time 12, Job2 arrives.
At time 13, Job1 finishes at CPU.
At time 29, Job1 arrives at Disk.
At time 43, Job1 finished I/O at Disk 2.
At time 45, Job3 arrives.
At time 58, Job4 arrives.
At time 63, Job2 finishes at CPU.
At time 78, Job1 arrives.
At time 80, Job5 arrives.
At time 81, Job2 arrives at Disk.
At time 93, Job3 finishes at CPU.
At time 96, Job7 arrives.
At time 109, Job4 finishes at CPU.
At time 110, Job6 arrives.
At time 110, Job2 finished I/O at Disk 2.
At time 117, Job3 arrives at Disk.
At time 121, Job8 arrives.
At time 124, Job9 arrives.
At time 129, Job1 finishes at CPU.
At time 130, Job4 arrives at Disk.
At time 131, Job2 arrives.
At time 132, Job10 arrives.
At time 136, Job3 finished I/O at Disk 2.
At time 141, Job5 finishes at CPU.
At time 147, Job11 arrives.
At time 147, Job3 arrives.
At time 153, Job12 arrives.
At time 153, Job5 arrives at Disk.
At time 154, Job1 arrives at Disk.
At time 157, Job7 finishes at CPU.
At time 157, Job7 exits.
At time 163, Job16 arrives.
At time 168, Job13 arrives.
At time 175, Job5 finished I/O at Disk 2.
At time 179, Job6 finishes at CPU.
At time 180, Job15 arrives.
At time 184, Job14 arrives.
At time 194, Job17 arrives.
At time 198, Job8 finishes at CPU.
At time 199, Job19 arrives.
At time 200, Job5 arrives.
At time 204, Job6 arrives at Disk.
At time 206, Job18 arrives.
At time 210, Job21 arrives.
At time 211, Job9 finishes at CPU.
At time 212, Job20 arrives.
At time 214, Job8 arrives at Disk.
At time 216, Job24 arrives.
At time 223, Job9 arrives at Disk.
At time 228, Job25 arrives.
At time 229, Job23 arrives.
At time 231, Job2 finishes at CPU.
At time 232, Job26 arrives.
At time 234, Job22 arrives.
At time 243, Job4 finished I/O at Disk 2.
At time 244, Job30 arrives.
At time 248, Job10 finishes at CPU.
At time 251, Job27 arrives.
At time 259, Job10 arrives at Disk.
At time 260, Job31 arrives.
At time 262, Job33 arrives.
At time 265, Job11 finishes at CPU.
At time 266, Job2 arrives at Disk.
At time 267, Job28 arrives.
At time 267, Job29 arrives.
At time 271, Job34 arrives.
At time 274, Job32 arrives.
At time 282, Job4 arrives.
At time 284, Job3 finishes at CPU.
At time 287, Job38 arrives.
At time 288, Job37 arrives.
At time 289, Job11 arrives at Disk.
At time 289, Job8 finished I/O at Disk 2.
At time 294, Job36 arrives.
At time 296, Job35 arrives.
At time 298, Job12 finishes at CPU.
At time 304, Job3 arrives at Disk.
At time 309, Job39 arrives.
At time 309, Job41 arrives.
At time 315, Job42 arrives.
At time 321, Job40 arrives.
At time 321, Job43 arrives.
At time 322, Job16 finishes at CPU.
At time 322, Job16 exits.
At time 324, Job12 arrives at Disk.
At time 329, Job8 arrives.
At time 331, Job44 arrives.
At time 333, Job49 arrives.
At time 334, Job48 arrives.
At time 336, Job9 finished I/O at Disk 2.
At time 340, Job46 arrives.
At time 342, Job47 arrives.
At time 343, Job13 finishes at CPU.
At time 344, Job45 arrives.
At time 346, Job53 arrives.
At time 348, Job9 arrives.
At time 351, Job50 arrives.
At time 354, Job56 arrives.
At time 355, Job15 finishes at CPU.
At time 355, Job15 exits.
At time 360, Job51 arrives.
At time 360, Job52 arrives.
At time 364, Job58 arrives.
At time 370, Job55 arrives.
At time 371, Job13 arrives at Disk.
At time 377, Job61 arrives.
At time 377, Job63 arrives.
At time 378, Job54 arrives.
At time 380, Job14 finishes at CPU.
At time 382, Job59 arrives.
At time 383, Job60 arrives.
At time 385, Job57 arrives.
At time 389, Job2 finished I/O at Disk 2.
At time 394, Job62 arrives.
At time 394, Job64 arrives.
At time 398, Job69 arrives.
At time 399, Job17 finishes at CPU.
At time 403, Job65 arrives.
At time 405, Job14 arrives at Disk.
At time 412, Job17 arrives at Disk.
At time 414, Job74 arrives.
At time 415, Job73 arrives.
At time 415, Job11 finished I/O at Disk 2.
At time 416, Job66 arrives.
At time 416, Job67 arrives.
At time 417, Job68 arrives.
At time 417, Job70 arrives.
At time 417, Job2 arrives.
At time 417, Job19 finishes at CPU.
At time 417, Job19 exits.
At time 425, Job71 arrives.
At time 427, Job75 arrives.
At time 430, Job79 arrives.
At time 430, Job80 arrives.
At time 434, Job72 arrives.
At time 439, Job5 finishes at CPU.
At time 444, Job76 arrives.
At time 444, Job78 arrives.
At time 449, Job82 arrives.
At time 450, Job84 arrives.
At time 452, Job83 arrives.
At time 454, Job11 arrives.
At time 454, Job5 arrives at Disk.
At time 455, Job77 arrives.
At time 455, Job18 finishes at CPU.
At time 457, Job81 arrives.
At time 464, Job85 arrives.
At time 468, Job86 arrives.
At time 469, Job88 arrives.
At time 470, Job12 finished I/O at Disk 2.
At time 474, Job87 arrives.
At time 475, Job90 arrives.
At time 476, Job93 arrives.
At time 477, Job21 finishes at CPU.
At time 480, Job18 arrives at Disk.
At time 482, Job89 arrives.
At time 482, Job97 arrives.
At time 483, Job94 arrives.
At time 486, Job91 arrives.
At time 487, Job12 arrives.
At time 488, Job92 arrives.
At time 490, Job95 arrives.
At time 494, Job96 arrives.
At time 497, Job20 finishes at CPU.
At time 498, Job99 arrives.
At time 498, Job100 arrives.
At time 499, Job106 arrives.
At time 501, Job13 finished I/O at Disk 2.
At time 501, Job103 arrives.
At time 504, Job101 arrives.
At time 506, Job21 arrives at Disk.
At time 509, Job102 arrives.
At time 512, Job98 arrives.
At time 515, Job109 arrives.
At time 515, Job24 finishes at CPU.
At time 516, Job104 arrives.
At time 516, Job107 arrives.
At time 518, Job111 arrives.
At time 518, Job14 finished I/O at Disk 2.
At time 519, Job114 arrives.
At time 526, Job108 arrives.
At time 527, Job105 arrives.
At time 528, Job20 arrives at Disk.
At time 528, Job119 arrives.
At time 531, Job116 arrives.
At time 532, Job25 finishes at CPU.
At time 533, Job115 arrives.
At time 535, Job110 arrives.
At time 535, Job24 arrives at Disk.
At time 536, Job121 arrives.
At time 538, Job112 arrives.
At time 539, Job13 arrives.
At time 543, Job118 arrives.
At time 544, Job113 arrives.
At time 546, Job14 arrives.
At time 546, Job127 arrives.
At time 547, Job123 arrives.
At time 548, Job122 arrives.
At time 548, Job23 finishes at CPU.
At time 551, Job117 arrives.
At time 554, Job125 arrives.
At time 555, Job120 arrives.
At time 555, Job17 finished I/O at Disk 2.
At time 561, Job130 arrives.
At time 562, Job124 arrives.
At time 563, Job26 finishes at CPU.
At time 566, Job25 arrives at Disk.
At time 566, Job126 arrives.
At time 566, Job129 arrives.
At time 566, Job131 arrives.
At time 570, Job136 arrives.
At time 570, Job17 arrives.
At time 571, Job128 arrives.
At time 577, Job26 arrives at Disk.
At time 577, Job22 finishes at CPU.
At time 577, Job22 exits.
At time 579, Job133 arrives.
At time 580, Job23 arrives at Disk.
At time 580, Job143 arrives.
At time 581, Job132 arrives.
At time 581, Job134 arrives.
At time 581, Job137 arrives.
At time 583, Job140 arrives.
At time 584, Job141 arrives.
At time 587, Job135 arrives.
At time 587, Job138 arrives.
At time 592, Job5 finished I/O at Disk 2.
At time 593, Job144 arrives.
